Type,Data
Packet,192.168.0.13 -> 186.189.71.190
Packet,193.74.118.106 -> 192.168.0.13
Packet,192.168.0.13 -> 223.18.221.54
Packet,192.168.0.13 -> 178.164.212.6
Packet,192.168.0.13 -> 221.127.203.207
Packet,109.197.199.120 -> 192.168.0.13
Packet,192.168.0.13 -> 109.197.199.120
Packet,208.95.112.1 -> 192.168.0.13
Packet,192.168.0.13 -> 208.95.112.1
Packet,208.95.112.1 -> 192.168.0.13
Packet,208.95.112.1 -> 192.168.0.13
Packet,192.168.0.13 -> 208.95.112.1
Packet,192.168.0.13 -> 208.95.112.1
Packet,192.168.0.13 -> 208.95.112.1
Packet,192.168.0.13 -> 208.95.112.1
Packet,208.95.112.1 -> 192.168.0.13
Packet,192.168.0.13 -> 208.95.112.1
Packet,66.75.62.200 -> 192.168.0.13
Packet,192.168.0.13 -> 66.75.62.200
Packet,1.39.200.4 -> 192.168.0.13
Packet,192.168.0.13 -> 1.39.200.4
Packet,178.164.212.6 -> 192.168.0.13
Packet,86.176.237.29 -> 192.168.0.13
Packet,86.176.237.29 -> 192.168.0.13
Packet,86.176.237.29 -> 192.168.0.13
Packet,192.168.0.13 -> 86.176.237.29
Packet,86.176.237.29 -> 192.168.0.13
Packet,192.168.0.13 -> 86.176.237.29
Packet,192.168.0.13 -> 86.176.237.29
Packet,86.176.237.29 -> 192.168.0.13
Packet,86.176.237.29 -> 192.168.0.13
Packet,192.168.0.13 -> 86.176.237.29
Packet,192.168.0.13 -> 86.176.237.29
Packet,66.75.62.200 -> 192.168.0.13
Packet,109.197.199.120 -> 192.168.0.13
Packet,192.168.0.13 -> 109.197.199.120
Packet,208.95.112.1 -> 192.168.0.13
Packet,192.168.0.13 -> 208.95.112.1
Packet,208.95.112.1 -> 192.168.0.13
Packet,192.168.0.13 -> 208.95.112.1
Packet,192.168.0.13 -> 208.95.112.1
Packet,1.39.200.4 -> 192.168.0.13
Packet,192.168.0.13 -> 1.39.200.4
Packet,192.168.0.13 -> 208.95.112.1
Packet,208.95.112.1 -> 192.168.0.13
Packet,192.168.0.13 -> 208.95.112.1
Packet,192.168.0.13 -> 208.95.112.1
Packet,122.215.9.23 -> 192.168.0.13
Packet,208.95.112.1 -> 192.168.0.13
Packet,192.168.0.13 -> 208.95.112.1
Key,2026-05-25 12:53:05.882240 : Key.backspace
Key,2026-05-25 12:53:06.060612 : Key.backspace
Key,2026-05-25 12:53:06.241401 : Key.backspace
Key,2026-05-25 12:53:29.885210 : Key.ctrl_l
Key,2026-05-25 12:53:30.322986 : 
Key,2026-05-25 12:53:31.277959 : Key.ctrl_l
Key,2026-05-25 12:53:31.784101 : 
Key,2026-05-25 12:53:43.897029 : Key.backspace
Key,2026-05-25 12:53:44.840365 : Key.ctrl_l
Key,2026-05-25 12:53:45.105354 : 
Key,2026-05-25 12:54:06.928742 : Key.enter
Key,2026-05-25 12:54:07.553263 : Key.ctrl_l
Key,2026-05-25 12:54:08.014019 : 
Key,2026-05-25 12:54:10.632951 : Key.enter
Key,2026-05-25 12:54:14.819452 : Key.ctrl_l
Key,2026-05-25 12:54:15.181383 : 
Key,2026-05-25 12:58:28.787737 : /
Key,2026-05-25 12:58:29.788720 : r
Key,2026-05-25 12:58:30.108602 : e
Key,2026-05-25 12:58:30.506627 : g
Key,2026-05-25 12:58:31.044237 : i
Key,2026-05-25 12:58:31.491154 : s
Key,2026-05-25 12:58:32.124131 : t
Key,2026-05-25 12:58:32.636886 : e
Key,2026-05-25 12:58:32.835539 : r
Key,2026-05-25 12:58:35.428657 : Key.enter
Key,2026-05-25 12:58:48.043162 : Key.enter
Key,2026-05-25 12:59:17.100365 : Key.print_screen
Key,2026-05-25 12:59:43.672178 : a
Key,2026-05-25 12:59:44.028706 : d
Key,2026-05-25 12:59:44.420843 : m
Key,2026-05-25 12:59:44.610441 : i
Key,2026-05-25 12:59:44.792112 : n
Key,2026-05-25 12:59:46.890946 : None
Key,2026-05-25 12:59:47.163416 : None
Key,2026-05-25 12:59:47.388635 : None
Key,2026-05-25 12:59:47.720888 : None
Key,2026-05-25 12:59:47.950246 : None
Key,2026-05-25 12:59:48.171101 : None
Key,2026-05-25 12:59:48.508883 : None
Key,2026-05-25 12:59:48.701056 : None
Key,2026-05-25 12:59:49.116947 : Key.enter
Key,2026-05-25 13:00:09.656291 : h
Key,2026-05-25 13:00:09.851129 : i
Key,2026-05-25 13:00:10.157121 : Key.space
Key,2026-05-25 13:00:10.541690 : h
Key,2026-05-25 13:00:10.757995 : e
Key,2026-05-25 13:00:11.125449 : l
Key,2026-05-25 13:00:11.269651 : l
Key,2026-05-25 13:00:11.420823 : o
